Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Customer Status,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_Not Subscribed To Internet,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Offer_no offer,Offer_offer a,Offer_offer b,Offer_offer c,Offer_offer d,Offer_offer e
0,37,1,0,2,9,0,1,0,1,0,1,1,0,1,1,65.6,593.3,381.51,974.81,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,46,0,0,0,9,1,1,0,0,0,0,0,1,0,0,-4.0,542.4,96.21,610.28,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,50,0,0,0,4,0,1,0,0,1,0,0,0,1,1,73.9,280.85,134.6,415.45,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,78,1,0,1,13,0,1,0,1,1,0,1,1,1,1,98.0,1237.85,361.66,1599.51,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,75,1,0,3,3,0,1,0,0,0,1,1,0,1,1,83.9,267.4,22.14,289.54,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,23,0,3,0,9,0,1,0,0,0,1,1,1,1,1,69.4,571.45,150.93,722.38,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,67,1,0,1,71,0,1,1,1,1,1,1,1,1,1,109.7,7904.25,707.16,8611.41,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,52,1,0,8,63,1,1,1,0,0,1,0,0,0,1,84.65,5377.8,816.48,6214.28,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,68,0,0,0,7,0,1,1,0,0,0,0,0,1,1,48.2,340.35,73.71,414.06,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,43,1,1,3,65,1,1,1,1,1,1,1,1,1,1,90.45,5957.9,1849.9,7807.8,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,47,0,0,0,54,0,1,1,0,0,1,1,0,1,0,45.2,2460.55,0.0,2460.55,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,25,1,2,2,72,1,1,1,1,1,1,1,1,1,1,116.8,8456.75,1152.72,9609.47,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,58,1,0,0,5,0,1,0,0,0,0,0,0,1,1,68.95,351.5,93.25,444.75,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,32,0,0,0,72,1,1,1,1,1,0,1,0,1,1,101.3,7261.25,162.0,7423.25,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,39,0,0,0,56,0,1,1,1,1,1,0,0,1,0,45.05,2560.1,0.0,2560.1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,58,1,2,9,71,1,1,0,1,1,0,0,1,1,1,95.75,6849.4,1935.46,8784.86,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,52,1,1,0,34,0,1,1,0,1,1,1,1,1,0,61.25,1993.2,0.0,1993.2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,79,0,0,0,45,0,1,1,0,1,0,0,1,1,0,62.7,2791.5,480.15,3271.65,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,67,0,0,0,1,0,1,0,0,0,0,0,0,1,1,25.1,25.1,0.0,25.1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,79,1,0,0,50,1,0,0,0,0,0,0,0,0,0,25.2,1306.3,1571.5,2877.8,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,26,1,0,1,13,1,1,0,1,1,0,1,0,1,0,94.1,1215.6,566.28,1781.88,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,30,1,2,1,23,1,1,0,0,0,0,1,0,1,1,83.75,1849.95,802.93,2652.88,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,34,1,0,0,4,0,0,0,0,0,0,0,0,0,0,20.35,76.35,49.72,126.07,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,37,1,1,1,1,0,1,1,0,0,0,0,0,1,0,30.5,30.5,0.0,30.5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,37,1,3,10,55,0,1,0,1,1,1,1,1,0,1,103.7,5656.75,1927.2,7603.95,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,42,1,3,3,54,0,0,0,0,0,0,0,0,0,0,20.4,1090.6,1063.8,2154.4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,64,0,0,0,26,0,0,0,0,0,0,0,0,0,1,19.6,471.85,980.2,1430.8,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,47,1,3,5,69,0,0,0,0,0,0,0,0,0,0,19.7,1396.9,2648.91,4045.81,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,23,1,3,1,37,0,1,0,0,0,0,1,1,1,0,91.2,3247.55,1591.37,4838.92,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,48,1,0,5,49,0,0,0,0,0,0,0,0,0,0,20.45,900.9,2429.42,3330.32,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,28,1,0,9,66,1,1,1,1,1,1,1,1,1,0,-2.0,7942.15,2888.82,10830.97,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,28,0,0,0,67,0,0,0,0,0,0,0,0,0,0,20.55,1343.4,1549.04,2861.91,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,33,1,1,4,20,0,1,1,0,1,1,0,0,1,1,39.4,825.4,0.0,825.4,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,31,0,3,0,43,1,0,0,0,0,0,0,0,0,1,25.1,1070.15,1317.52,2387.67,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,37,1,0,2,55,1,1,1,0,0,0,1,0,1,1,89.8,4959.6,279.4,5239.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,60,1,0,4,59,1,1,1,1,0,0,1,0,1,1,94.75,5597.65,967.01,6564.66,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,48,1,3,3,12,0,0,0,0,0,0,0,0,0,0,20.3,224.5,231.36,455.86,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,60,1,3,7,27,1,1,0,0,0,0,0,0,1,1,75.75,1929.0,682.02,2611.02,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
